latitude,longitude,acq_datetime,frp,satellite,confidence,daynight,source,weight
27.2417,140.8714,2026-07-31T06:08:00Z,19.79,Aqua,66,D,MODIS_NRT,1
27.2433,140.884,2026-07-31T06:08:00Z,18.59,Aqua,64,D,MODIS_NRT,1
-5.3736,144.1393,2026-07-31T05:59:00Z,13.2,Aqua,80,D,MODIS_NRT,1
-4.2619,143.7292,2026-07-31T05:59:00Z,17.84,Aqua,81,D,MODIS_NRT,1
-4.2007,144.0121,2026-07-31T05:59:00Z,16.95,Aqua,81,D,MODIS_NRT,1
-4.2172,143.9607,2026-07-31T05:59:00Z,63.95,Aqua,97,D,MODIS_NRT,1
-4.2185,143.9519,2026-07-31T05:59:00Z,17.42,Aqua,81,D,MODIS_NRT,1
-4.2285,143.9592,2026-07-31T05:59:00Z,9.04,Aqua,59,D,MODIS_NRT,1
-4.2298,143.9503,2026-07-31T05:59:00Z,11.95,Aqua,73,D,MODIS_NRT,1
-4.2422,143.7296,2026-07-31T05:59:00Z,50.63,Aqua,82,D,MODIS_NRT,1
-4.2655,144.1351,2026-07-31T05:59:00Z,7.69,Aqua,68,D,MODIS_NRT,1
-4.1858,144.3733,2026-07-31T05:59:00Z,7.08,Aqua,68,D,MODIS_NRT,1
-4.2658,143.3202,2026-07-31T05:59:00Z,5.19,Aqua,52,D,MODIS_NRT,1
-4.2702,142.387,2026-07-31T05:59:00Z,14.12,Aqua,0,D,MODIS_NRT,1
-4.2717,142.377,2026-07-31T05:59:00Z,38.4,Aqua,77,D,MODIS_NRT,1
-4.2733,144.4106,2026-07-31T05:59:00Z,8.94,Aqua,70,D,MODIS_NRT,1
-4.2929,144.1545,2026-07-31T05:59:00Z,5.7,Aqua,65,D,MODIS_NRT,1
-4.1913,143.2562,2026-07-31T05:59:00Z,4.92,Aqua,0,D,MODIS_NRT,1
-4.1574,138.848,2026-07-31T05:59:00Z,28.77,Aqua,70,D,MODIS_NRT,1
-4.1659,143.493,2026-07-31T05:59:00Z,6.9,Aqua,44,D,MODIS_NRT,1
-3.7694,141.7832,2026-07-31T05:59:00Z,10.38,Aqua,63,D,MODIS_NRT,1
-4.1252,144.0996,2026-07-31T05:59:00Z,15.15,Aqua,75,D,MODIS_NRT,1
-4.1019,143.9911,2026-07-31T05:59:00Z,9.02,Aqua,55,D,MODIS_NRT,1
-4.0978,144.0801,2026-07-31T05:59:00Z,78.68,Aqua,0,D,MODIS_NRT,1
-4.0802,138.9976,2026-07-31T05:59:00Z,16.42,Aqua,68,D,MODIS_NRT,1
-4.0753,144.0499,2026-07-31T05:59:00Z,11.18,Aqua,0,D,MODIS_NRT,1
-4.066,143.6097,2026-07-31T05:59:00Z,7.1,Aqua,68,D,MODIS_NRT,1
-4.0634,144.2537,2026-07-31T05:59:00Z,4.7,Aqua,31,D,MODIS_NRT,1
-3.9846,138.857,2026-07-31T05:59:00Z,17.86,Aqua,43,D,MODIS_NRT,1
-3.9726,138.8553,2026-07-31T05:59:00Z,26.65,Aqua,75,D,MODIS_NRT,1
-3.9405,144.2209,2026-07-31T05:59:00Z,9.41,Aqua,71,D,MODIS_NRT,1
-3.9385,143.7839,2026-07-31T05:59:00Z,54.94,Aqua,95,D,MODIS_NRT,1
-3.9372,143.7927,2026-07-31T05:59:00Z,7.97,Aqua,53,D,MODIS_NRT,1
-3.9318,144.2196,2026-07-31T05:59:00Z,4.94,Aqua,28,D,MODIS_NRT,1
-4.3037,143.6899,2026-07-31T05:59:00Z,8.04,Aqua,71,D,MODIS_NRT,1
-4.3346,144.0531,2026-07-31T05:59:00Z,13.47,Aqua,77,D,MODIS_NRT,1
-4.3355,144.1698,2026-07-31T05:59:00Z,11.24,Aqua,75,D,MODIS_NRT,1
-5.5455,144.0423,2026-07-31T05:59:00Z,6.62,Aqua,25,D,MODIS_NRT,1
-5.3382,142.2187,2026-07-31T05:59:00Z,8.29,Aqua,67,D,MODIS_NRT,1
-5.366,144.4589,2026-07-31T05:59:00Z,6.5,Aqua,71,D,MODIS_NRT,1
-5.3903,144.0251,2026-07-31T05:59:00Z,5.98,Aqua,69,D,MODIS_NRT,1
-5.5357,143.9862,2026-07-31T05:59:00Z,7.41,Aqua,58,D,MODIS_NRT,1
-5.5367,144.0411,2026-07-31T05:59:00Z,9.5,Aqua,75,D,MODIS_NRT,1
-5.538,144.032,2026-07-31T05:59:00Z,10.01,Aqua,75,D,MODIS_NRT,1
-5.5732,144.0377,2026-07-31T05:59:00Z,13.9,Aqua,79,D,MODIS_NRT,1
-4.3359,144.0444,2026-07-31T05:59:00Z,6.67,Aqua,68,D,MODIS_NRT,1
-5.5841,143.839,2026-07-31T05:59:00Z,6.62,Aqua,70,D,MODIS_NRT,1
-5.5854,143.83,2026-07-31T05:59:00Z,6.56,Aqua,71,D,MODIS_NRT,1
-5.6107,143.8429,2026-07-31T05:59:00Z,8.54,Aqua,30,D,MODIS_NRT,1
-5.6675,143.5919,2026-07-31T05:59:00Z,10.42,Aqua,47,D,MODIS_NRT,1
-6.157,139.5701,2026-07-31T05:59:00Z,12.99,Aqua,39,D,MODIS_NRT,1
-6.1688,139.5718,2026-07-31T05:59:00Z,12.86,Aqua,17,D,MODIS_NRT,1
-5.3029,144.2547,2026-07-31T05:59:00Z,8.83,Aqua,73,D,MODIS_NRT,1
-5.2791,142.3194,2026-07-31T05:59:00Z,22.69,Aqua,78,D,MODIS_NRT,1
-5.2705,142.9508,2026-07-31T05:59:00Z,6.03,Aqua,46,D,MODIS_NRT,1
-5.158,141.5372,2026-07-31T05:59:00Z,9.98,Aqua,42,D,MODIS_NRT,1
-5.1482,141.535,2026-07-31T05:59:00Z,19.45,Aqua,77,D,MODIS_NRT,1
-5.1429,145.146,2026-07-31T05:59:00Z,4.67,Aqua,56,D,MODIS_NRT,1
-5.1258,141.6227,2026-07-31T05:59:00Z,5.92,Aqua,51,D,MODIS_NRT,1
-5.0108,143.9704,2026-07-31T05:59:00Z,9.15,Aqua,68,D,MODIS_NRT,1
-4.8317,144.5659,2026-07-31T05:59:00Z,7.34,Aqua,73,D,MODIS_NRT,1
-4.7297,140.7333,2026-07-31T05:59:00Z,9.36,Aqua,31,D,MODIS_NRT,1
